Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,1080.0,-41,22.6711,217.04891027558583,1.7272
a-025,IR02,616.0,-30,22.6711,552.976580373879,0.8103
a-026,IR03,575.0,-20,22.6711,420.31568834512143,1.1716
a-027,IR04,739.0,-51,22.6711,258.39608959762853,1.2028
a-011,IR05,681.0,-44,22.6711,307.9214379676043,1.4268
a-023,IR06,669.0,-38,22.6711,122.84153754743349,1.377
a-022,IR07,865.0,-33,22.6711,0.0,0.594
a-021,IR08,763.0,-38,22.6711,211.54331688590804,0.8375
a-020,IR09,1230.0,-40,22.6711,143.9362720612728,1.008
a-004,IR10,1410.0,-42,22.6711,112.28808487446383,1.2387
a-028,PT01,978.0,-36,22.6711,0.0,3.2472
a-029,PT02,867.0,-40,22.6711,19.236672489776986,2.1784
a-030,PT03,1840.0,-23,22.6711,41.150520645297945,2.0868
a-031,PT04,1500.0,-34,22.6711,18.8319946166646,2.3458
a-015,PT05,1990.0,-34,22.6711,26.16298949982161,2.0832
a-019,PT06,591.0,-70,22.6711,49.81211965025417,2.6302
a-018,PT07,429.0,-64,22.6711,55.49507214155454,2.1168
a-017,PT08,817.0,-65,22.6711,65.16044945263504,1.7199
a-016,PT09,578.0,-63,22.6711,104.14655025589961,1.607
a-000,PT10,798.0,-64,22.6711,39.06282314660322,2.8304
