Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,595.0,-33,66.4015,175.00860310738932,1.7272
a-025,IR02,651.0,-45,66.4015,439.8497549182284,0.8103
a-026,IR03,566.0,-43,66.4015,307.9286708511498,1.1716
a-027,IR04,802.0,-33,66.4015,309.1078082764414,1.2028
a-011,IR05,827.0,-38,66.4015,308.0564085511567,1.4268
a-023,IR06,748.0,-47,66.4015,392.9017000911947,1.377
a-022,IR07,1050.0,-32,66.4015,0.0,0.594
a-021,IR08,735.0,-33,66.4015,354.34714539197034,0.8375
a-020,IR09,407.0,-39,66.4015,307.730463980491,1.008
a-004,IR10,481.0,-39,66.4015,302.64541683056626,1.2387
