Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,994.0,-97,193.52570800281487,1.7272,65.6232
a-025,IR02,174.0,-25,589.0726661673406,0.8103,65.6232
a-026,IR03,750.0,-82,393.8532447414472,1.1716,65.6232
a-027,IR04,677.0,-35,276.5758102889416,1.2028,65.6232
a-011,IR05,466.0,-39,197.26768885728995,1.4268,65.6232
a-023,IR06,954.0,-37,82.69091112229185,1.377,65.6232
a-022,IR07,983.0,-42,0.0,0.594,65.6232
a-021,IR08,70800.0,-32,108.18720009501834,0.8375,65.6232
a-020,IR09,1790.0,-44,23.88474620617472,1.008,65.6232
a-004,IR10,2020.0,-46,64.42292855160912,1.2387,65.6232
