Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,998.0,-64,206.3428374463524,1.7272,66.8719
a-025,IR02,820.0,-43,617.4509599167438,0.8103,66.8719
a-026,IR03,624.0,-71,360.2896761823462,1.1716,66.8719
a-027,IR04,718.0,-18,272.1566345187394,1.2028,66.8719
a-011,IR05,419.0,-17,179.11671017966376,1.4268,66.8719
a-023,IR06,803.0,-34,108.86576303539913,1.377,66.8719
a-022,IR07,918.0,-41,0.0,0.594,66.8719
a-021,IR08,980.0,-41,179.77588978188504,0.8375,66.8719
a-020,IR09,1580.0,-41,98.08592796094116,1.008,66.8719
a-004,IR10,1790.0,-44,71.45208065527956,1.2387,66.8719
