Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,633.0,-4,206.3428374463524,1.7272,67.117
a-025,IR02,515.0,-13,562.0509246617805,0.8103,67.117
a-026,IR03,358.0,-26,427.0403830833431,1.1716,67.117
a-027,IR04,591.0,-35,236.83461287389068,1.2028,67.117
a-011,IR05,618.0,-38,217.8265151351573,1.4268,67.117
a-023,IR06,801.0,-37,105.7844011443798,1.377,67.117
a-022,IR07,920.0,-37,0.0,0.594,67.117
a-021,IR08,958.0,-37,162.98300062962934,0.8375,67.117
a-020,IR09,1640.0,-41,92.52922322775112,1.008,67.117
a-004,IR10,1780.0,-43,67.30237609095877,1.2387,67.117
