Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,329.0,-31,66.4854,227.38956272996168,1.7272
a-025,IR02,682.0,-52,66.4854,596.8824461975269,0.8103
a-026,IR03,622.0,-42,66.4854,401.2766700291873,1.1716
a-027,IR04,651.0,-36,66.4854,360.5369522396407,1.2028
a-011,IR05,651.0,-38,66.4854,262.7466202888272,1.4268
a-023,IR06,551.0,-35,66.4854,184.04631759752968,1.377
a-022,IR07,1640.0,-32,66.4854,0.0,0.594
a-021,IR08,1350.0,-34,66.4854,223.38166311301572,0.8375
a-020,IR09,1000.0,-38,66.4854,201.8692189105874,1.008
a-004,IR10,1150.0,-39,66.4854,185.8788680440525,1.2387
