Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,995.0,-79,66.5243,145.82042738746162,1.7272
a-025,IR02,293.0,-44,66.5243,353.8192667666732,0.8103
a-026,IR03,687.0,-48,66.5243,250.0806636177247,1.1716
a-027,IR04,511.0,-46,66.5243,214.82508180214603,1.2028
a-011,IR05,545.0,-46,66.5243,165.7306539398787,1.4268
a-023,IR06,5530.0,105,66.5243,237.8874660305329,1.377
a-022,IR07,17000.0,164,66.5243,0.0,0.594
a-021,IR08,7220.0,131,66.5243,380.05970149254495,0.8375
a-020,IR09,10600.0,-163,66.5243,602.6938339423742,1.008
a-004,IR10,10800.0,-159,66.5243,791.7388577363866,1.2387
