Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,226.0,-32,,,65.1727
A-025,IR02,376.0,-18,,,65.1727
A-026,IR03,221.0,-11,,,65.1727
A-027,IR04,406.0,-37,,,65.1727
A-011,IR05,846.0,-46,,,65.1727
A-023,IR06,111000.0,-18,,,65.1727
A-022,IR07,404000.0,-28,,,65.1727
A-021,IR08,177000.0,-27,,,65.1727
A-020,IR09,207.0,-35,,,65.1727
A-004,IR10,395.0,-73,,,65.1727
