Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,719.0,-31,66.516,213.90779206899987,1.7272
a-025,IR02,682.0,-38,66.516,536.3635500622448,0.8103
a-026,IR03,569.0,-38,66.516,291.5758419347112,1.1716
a-027,IR04,355.0,-33,66.516,460.4640454328786,1.2028
a-011,IR05,864.0,-37,66.516,19.983754214221392,1.4268
a-023,IR06,724.0,-38,66.516,298.24528735208554,1.377
a-022,IR07,1110.0,-32,66.516,0.0,0.594
a-021,IR08,788.0,-32,66.516,438.1936471489416,0.8375
a-020,IR09,394.0,-37,66.516,-7.651480463954526,1.008
a-004,IR10,464.0,-38,66.516,314.2434759546953,1.2387
