Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-024,IR01,329.0,-57,66.4938,238.13815261382945,1.7272
a-025,IR02,564.0,-50,66.4938,602.0245746272741,0.8103
a-026,IR03,451.0,-49,66.4938,427.0403830833744,1.1716
a-027,IR04,467.0,-46,66.4938,291.7871121230372,1.2028
a-011,IR05,625.0,-49,66.4938,241.85533047403763,1.4268
a-023,IR06,566.0,-36,66.4938,167.86894314393894,1.377
a-022,IR07,1800.0,-32,66.4938,0.0,0.594
a-021,IR08,1500.0,-34,66.4938,176.7327908950305,0.8375
a-020,IR09,1090.0,-38,66.4938,211.09615384615552,1.008
a-004,IR10,1230.0,-39,66.4938,241.18406462798168,1.2387
