Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,578.0,-33,212.47520813302472,1.7272,67.245
a-025,IR02,574.0,-14,562.0509246617805,0.8103,67.245
a-026,IR03,299.0,-25,370.9588465478424,1.1716,67.245
a-027,IR04,438.0,-49,253.578753647257,1.2028,67.245
a-011,IR05,485.0,-60,211.29986514226337,1.4268,67.245
a-023,IR06,754.0,-38,122.97949177995308,1.377,67.245
a-022,IR07,867.0,-38,0.0,0.594,67.245
a-021,IR08,894.0,-36,172.96826636052828,0.8375,67.245
a-020,IR09,1450.0,-40,126.49954212456308,1.008,67.245
a-004,IR10,1650.0,-43,78.01982075561551,1.2387,67.245
