Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,542.0,-38,,,65.2471
A-025,IR02,570.0,-33,,,65.2471
A-026,IR03,299.0,-20,,,65.2471
A-027,IR04,558.0,-43,,,65.2471
A-011,IR05,346000.0,-23,,,65.2471
A-023,IR06,387000.0,-27,,,65.2471
A-022,IR07,795.0,-16,,,65.2471
A-021,IR08,571.0,-20,,,65.2471
A-020,IR09,516.0,-38,,,65.2471
A-004,IR10,383.0,-70,,,65.2471
A-028,PT01,33200.0,-37,,,65.2471
A-029,PT02,633.0,-37,,,65.2471
A-030,PT03,343.0,-33,,,65.2471
A-031,PT04,451.0,-47,,,65.2471
A-015,PT05,2120.0,-37,,,65.2471
A-019,PT06,1050.0,-42,,,65.2471
A-018,PT07,475.0,-46,,,65.2471
A-017,PT08,1470.0,-38,,,65.2471
A-016,PT09,804.0,-54,,,65.2471
A-000,PT10,608.0,23,,,65.2471
