Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-024,IR01,276.0,-34,,,65.3335
A-025,IR02,453.0,-25,,,65.3335
A-026,IR03,97.2,-30,,,65.3335
A-027,IR04,376.0,-47,,,65.3335
A-011,IR05,185000.0,-28,,,65.3335
A-023,IR06,178.0,-30,,,65.3335
A-022,IR07,454000.0,-44,,,65.3335
A-021,IR08,364.0,-29,,,65.3335
A-020,IR09,329.0,-42,,,65.3335
A-004,IR10,498.0,-66,,,65.3335
A-028,PT01,33900.0,-42,,,65.3335
A-029,PT02,508.0,-45,,,65.3335
A-030,PT03,417.0,-35,,,65.3335
A-031,PT04,575.0,-45,,,65.3335
A-015,PT05,1950.0,-43,,,65.3335
A-019,PT06,436.0,-73,,,65.3335
A-018,PT07,658.0,-66,,,65.3335
A-017,PT08,619.0,-67,,,65.3335
A-016,PT09,644.0,-60,,,65.3335
A-000,PT10,669.0,-59,,,65.3335
