Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,7740.0,-34,66.3492,31.93919905939192,1.7272
d-025,IR02,21400.0,-25,66.3492,1.1343453560692651,0.8103
d-026,IR03,3180.0,-41,66.3492,177.76749589451524,1.1716
d-027,IR04,27700.0,-28,66.3492,0.319942073005224,1.2028
d-007,IR05,4280.0,-41,66.3492,85.36585365854565,1.4268
d-028,IR06,184000.0,-20,66.3492,5.192300341939157,1.377
d-029,IR07,10500.0,-24,66.3492,0.0,0.594
d-030,IR08,25700.0,-22,66.3492,2074.378874859417,0.8375
d-031,IR09,6140.0,-21,66.3492,72.79327875245752,1.008
d-006,IR10,9620.0,-29,66.3492,26.00704942819324,1.2387
d-008,PT01,3490.0,-39,66.3492,0.0,3.2472
d-009,PT02,730.0,-33,66.3492,100.64961816246397,2.1784
d-010,PT03,45300.0,-25,66.3492,7.872029148626074,2.0868
d-011,PT04,855.0,-40,66.3492,40.11935840660739,2.3458
d-005,PT05,1410.0,-41,66.3492,62.15963432520285,2.0832
d-012,PT06,843.0,-67,66.3492,42.05588343676932,2.6302
d-013,PT07,1020.0,-60,66.3492,49.37887451292868,2.1168
d-014,PT08,861.0,-58,66.3492,84.85826940903783,1.7199
d-015,PT09,926.0,-54,66.3492,74.99542442990591,1.607
d-004,PT10,1110.0,-71,66.3492,37.013443959293554,2.8304
