Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-024,IR01,17600.0,-28,66.4472,11.825118947738629,1.7272
d-025,IR02,37100.0,-24,66.4472,20.33994096294689,0.8103
d-026,IR03,12800.0,-25,66.4472,70.89283198874183,1.1716
d-027,IR04,286000.0,-33,66.4472,97.16028069037716,1.2028
d-007,IR05,13700.0,-28,66.4472,35.36955137946561,1.4268
d-028,IR06,813000.0,-28,66.4472,14.158684726335595,1.377
d-029,IR07,8420.0,-26,66.4472,0.0,0.594
d-030,IR08,66300.0,-23,66.4472,9.576985798776462,0.8375
d-031,IR09,71600.0,-23,66.4472,6.631931277754399,1.008
d-006,IR10,9070.0,-32,66.4472,19.461434289179824,1.2387
d-008,PT01,3630.0,-40,66.4472,0.0,3.2472
d-009,PT02,574.0,-32,66.4472,132.7073192843844,2.1784
d-010,PT03,58000.0,-25,66.4472,3.8952213283686743,2.0868
d-011,PT04,761.0,-43,66.4472,69.6532805328941,2.3458
d-005,PT05,1050.0,-49,66.4472,59.23602973918534,2.0832
d-012,PT06,889.0,-56,66.4472,40.694477752497804,2.6302
d-013,PT07,835.0,-58,66.4472,58.042150657166076,2.1168
d-014,PT08,868.0,-58,66.4472,72.56683080858495,1.7199
d-015,PT09,901.0,-55,66.4472,58.981858216460374,1.607
d-004,PT10,854.0,-68,66.4472,39.025309491366876,2.8304
d-023,G1X1-1,5090.0,-49,66.4472,7.434081196582123,4.0
d-022,G1X1-2,18900.0,-59,66.4472,0.904170267933957,4.0
d-021,G3X3S-1,12400.0,-65,66.4472,0.030595818987870088,3.9204
d-020,G3X3S-2,10400.0,-64,66.4472,1.7618930522802987,3.9204
d-019,G2X2S-1,11500.0,-57,66.4472,1.5488088660846326,3.9601
d-018,G2X2S-2,7760.0,-58,66.4472,2.951939771717418,3.9601
d-017,G2X2L-1,19200.0,-67,66.4472,0.7766749379654208,4.0
d-016,G2X2L-2,10900.0,-57,66.4472,1.891885553471043,4.0
