Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-024,IR01,489.0,-46,203.8330474528615,1.7272,65.0635
a-025,IR02,488.0,-49,617.0554115760245,0.8103,65.0635
a-026,IR03,416.0,-29,314.8773100121548,1.1716,65.0635
a-027,IR04,608.0,-36,267.6635362134281,1.2028,65.0635
a-011,IR05,429.0,-49,97.61445731168774,1.4268,65.0635
a-023,IR06,570.0,-34,224.75839338570597,1.377,65.0635
a-022,IR07,36300.0,-26,0.0,0.594,65.0635
a-021,IR08,113000.0,-39,218.05002693422784,0.8375,65.0635
a-020,IR09,886.0,-37,258.5852633030586,1.008,65.0635
a-004,IR10,464.0,-48,145.59898404653669,1.2387,65.0635
a-028,PT01,82.1,121,30.289574923718646,3.2472,65.0635
a-029,PT02,659.0,-42,34.68856967615295,2.1784,65.0635
a-030,PT03,605.0,-33,40.124903329385866,2.0868,65.0635
a-031,PT04,984.0,-37,32.57994826160282,2.3458,65.0635
a-015,PT05,2180.0,-37,29.01624909949981,2.0832,65.0635
a-019,PT06,419.0,-67,42.30049776852336,2.6302,65.0635
a-018,PT07,428.0,-60,35.49305192162552,2.1168,65.0635
a-017,PT08,744.0,-65,48.73640651324145,1.7199,65.0635
a-016,PT09,769.0,-53,68.27729081197202,1.607,65.0635
a-000,PT10,830.0,-51,24.96589229029884,2.8304,65.0635
