,Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
0,d-024,IR01,9840.0,-37,66.4216,8.414264721521617,1.7272
1,d-025,IR02,65400.0,-27,66.4216,10.868076196669916,0.8103
2,d-026,IR03,2480.0,-26,66.4216,142.44701051230186,1.1716
3,d-027,IR04,421000.0,-33,66.4216,-96.94686756541505,1.2028
4,d-007,IR05,3340.0,-29,66.4216,67.80321625965502,1.4268
5,d-028,IR06,815000.0,-29,66.4216,3.383190883190884,1.377
6,d-029,IR07,7590.0,-27,66.4216,0.0,0.594
7,d-030,IR08,18700.0,-22,66.4216,21.5827157916715,0.8375
8,d-031,IR09,556000.0,-31,66.4216,-14160.752442024585,1.008
9,d-006,IR10,7530.0,-33,66.4216,21.882009167069217,1.2387
10,d-008,PT01,3960.0,-39,66.4216,0.0,3.2472
11,d-009,PT02,836.0,-29,66.4216,102.66117520767615,2.1784
12,d-010,PT03,51400.0,-26,66.4216,6.163499592786272,2.0868
13,d-011,PT04,1040.0,-38,66.4216,41.26118924783325,2.3458
14,d-005,PT05,1350.0,-43,66.4216,57.8114761582548,2.0832
15,d-012,PT06,1930.0,-46,66.4216,23.89452688593583,2.6302
16,d-013,PT07,1960.0,-43,66.4216,31.595742692681085,2.1168
17,d-014,PT08,1670.0,-42,66.4216,40.275986753969235,1.7199
18,d-015,PT09,12200.0,-23,66.4216,18.57785446102865,1.607
19,d-004,PT10,1960.0,-54,66.4216,16.094584301100575,2.8304
