Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
d-028,PT01,1170.0,-31,65.798,0.0,3.2472
d-029,PT02,427.0,-42,65.798,130.21201163875338,2.1784
d-030,PT03,472.0,-38,65.798,4.073222158328541,2.0868
d-031,PT04,801.0,-35,65.798,121.63972271229424,2.3458
d-015,PT05,948.0,-32,65.798,138.0817117234642,2.0832
d-019,PT06,277.0,-45,65.798,162.65989441814725,2.6302
d-018,PT07,921.0,-46,65.798,169.88633060056023,2.1168
d-017,PT08,962.0,-34,65.798,225.66554563972693,1.7199
d-016,PT09,323.0,-43,65.798,700.6605715362531,1.607
d-000,PT10,984.0,-52,65.798,75.69975159805414,2.8304
