Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
a-028,PT01,31700.0,-42,,3.2472,65.3523
a-029,PT02,498.0,-41,,2.1784,65.3523
a-030,PT03,11600.0,-39,,2.0868,65.3523
a-031,PT04,627.0,-48,,2.3458,65.3523
a-015,PT05,1890.0,-42,,2.0832,65.3523
a-019,PT06,426.0,-72,,2.6302,65.3523
a-018,PT07,278.0,-59,,2.1168,65.3523
a-017,PT08,609.0,-67,,1.7199,65.3523
a-016,PT09,501.0,-59,,1.607,65.3523
a-000,PT10,662.0,-59,,2.8304,65.3523
