Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2),Temperature (C)
A-028,PT01,34000.0,-37,,,65.2242
A-029,PT02,685.0,-36,,,65.2242
A-030,PT03,861.0,-24,,,65.2242
A-031,PT04,1560.0,-27,,,65.2242
A-015,PT05,2140.0,-34,,,65.2242
A-019,PT06,1060.0,-42,,,65.2242
A-018,PT07,916.0,-34,,,65.2242
A-017,PT08,601.0,-60,,,65.2242
A-016,PT09,757.0,-53,,,65.2242
A-000,PT10,153.0,51,,,65.2242
