Channel Number,Channel Name,Impedance Magnitude at 1000 Hz (ohms),Impedance Phase at 1000 Hz (degrees),Temperature (C),Charge Injection Capacity @ 1000 us (uC/cm^2),Geometric Surface Area (mm^2)
a-028,PT01,1310.0,-32,66.4015,0.0,3.2472
a-029,PT02,460.0,-44,66.4015,89.13927445607708,2.1784
a-030,PT03,446.0,-37,66.4015,98.02512811284366,2.0868
a-031,PT04,794.0,-28,66.4015,184.86394669361783,2.3458
a-015,PT05,819.0,-32,66.4015,151.7130450195132,2.0832
a-019,PT06,278.0,-49,66.4015,106.68252221208634,2.6302
a-018,PT07,422.0,-48,66.4015,140.8279446563288,2.1168
a-017,PT08,424.0,-47,66.4015,223.06753075985955,1.7199
a-016,PT09,338.0,-45,66.4015,254.89445215633887,1.607
a-000,PT10,505.0,-45,66.4015,118.87420098274433,2.8304
